title;author_name;text;labels;
Don Quixote;Miguel de Cervantes;In a village of La Mancha, the name of which I have no desire to call to mind, there lived not long since one of those gentlemen that keep a lance in the lance-rack, an old buckler, a lean hack, and a greyhound for coursing. An olla of rather more beef than mutton, a salad on most nights, scraps on Saturdays, lentils on Fridays, and a pigeon or so extra on Sundays, made away with three-quarters of his income. The rest of it went in a doublet of fine cloth and velvet breeches and shoes to match for holidays, while on week-days he made a brave figure in his best homespun.;1;
Alice's Adventures in Wonderland;Lewis Carroll;Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a book,Õ thought Alice Ôwithout pictures or conversation?Õ So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.;1;
The Adventures of Huckleberry Finn;Mark Twain;"You donÕt know about me, without you have read a book by the name of The Adventures of Tom Sawyer; but that ainÕt no matter. That book was made by Mr. Mark Twain, and he told the truth, mainly. There was things which he stretched, but mainly he told the truth. That is nothing. I never seen anybody but lied one time or another, without it was Aunt Polly, or the widow, or maybe Mary. Aunt PollyÑTomÕs Aunt Polly, she isÑand Mary, and the Widow Douglas is all told about in that book, which is mostly a 1 book, with some stretchers, as I said before.";1;
The Adventures of Tom Sawyer;Mark Twain;"The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never lookedÊthroughÊthem for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for Òstyle,Ó not serviceÑshe could have seen through a pair of stove-lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear";1;
Treasure Island;Robert Louis Stevenson;Quire Trelawney, Dr. Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17__ and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof.;1;
Pride and Prejudice;Jane Austen;It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ÒMy dear Mr. Bennet,Ó said his lady to him one day, Òhave you heard that Netherfield Park is let at last?Ó Mr. Bennet replied that he had not.;0;
Wuthering Heights;Emily Bront‘;I have just returned from a visit to my landlordÑthe solitary neighbour that I shall be troubled with. This is certainly a beautiful country! In all England, I do not believe that I could have fixed on a situation so completely removed from the stir of society. A perfect misanthropistÕs HeavenÑand Mr. Heathcliff and I are such a suitable pair to divide the desolation between us.;0;
Jane Eyre;Charlotte Bront‘;"There was no possibility of taking a walk that day. We had been wandering, indeed, in the leafless shrubbery an hour in the morning; but since dinner (Mrs. Reed, when there was no company, dined early) the cold winter wind had brought with it clouds so sombre, and a rain so penetrating, that further outdoor exercise was now out of the question.";0;
Moby Dick;Herman Melville;"Call me Ishmael. Some years agoÑnever mind how long preciselyÑhaving little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world. It is a way I have of driving off the spleen and regulating the circulation. Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses";1;
The Scarlet Letter;Nathaniel Hawthorne;ItÊis a little remarkable, thatÑthough disinclined to talk overmuch of myself and my affairs at the fireside, and to my personal friendsÑan autobiographical impulse should twice in my life have taken possession of me, in addressing the public. The first time was three or four years since, when I favored the readerÑinexcusably, and for no earthly reason, that either the indulgent reader or the intrusive author could imagine.;1;
Gulliver's Travels;Jonathan Swift;"My father had a small estate in Nottinghamshire; I was the third of five sons. He sent me to Emanuel College in Cambridge at fourteen years old, where I resided three years, and applied myself close to my studies; but the charge of maintaining me, although I had a very scanty allowance, being too great for a narrow fortune, I was bound apprentice to Mr. James Bates, an eminent surgeon in London";1;
The Pilgrim's Progress;John Bunyan;As I walked through the wilderness of this world, I lighted on a certain place where was a Den, and I laid me down in that place to sleep: and, as I slept, I dreamed a dream. I dreamed, and behold, I saw a man clothed with rags, standing in a certain place, with his face from his own house, a book in his hand, and a great burden upon his back.;1;
A Christmas Carol;Charles Dickens;MarleyÊwas dead: to begin with. There is no doubt whatever about that. The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner. Scrooge signed it: and ScroogeÕs name was good upon ÕChange, for anything he chose to put his hand to. Old Marley was as dead as a door-nail.;1;
David Copperfield;Charles Dickens;Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show. To begin my life with the beginning of my life, I record that I was born (as I have been informed and believe) on a Friday, at twelve oÕclock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.;1;
A Tale of Two Cities;Charles Dickens;It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us;1;
Little Women;Louisa May Alcott;"""Christmas won't be Christmas without any presents,"" grumbled Jo, lying on the rug. ""It's so dreadful to be poor!"" sighed Meg, looking down at her old dress. ""I don't think it's fair for some girls to have plenty of pretty things, and other girls nothing at all,"" added little Amy, with an injured sniff. ""We've got father and mother and each other,"" said Beth contentedly, from her corner.";0;
Great Expectations;Charles Dickens;My fatherÕs family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip.;1;
The Hobbit, or, There and Back Again;J.R.R. Tolkien;In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.;1;
Frankenstein, or, the Modern Prometheus;Mary Shelley;I am by birth a Genevese, and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics, and my father had filled several public situations with honour and reputation. He was respected by all who knew him for his integrity and indefatigable attention to public business.;0;
Oliver Twist;Charles Dickens;"Among other public buildings in a certain town, which for many reasons it will be prudent to refrain from mentioning, and to which I will assign no fictitious name, there is one anciently common to most towns, great or small: to wit, a workhouse; and in this workhouse was born; on a day and date which I need not trouble myself";1;
